budget_factor,algname,fid,dim,lib,fx,
500,DE,14,2,OPYTIMIZER,-6.980266135,
500,DE,14,5,OPYTIMIZER,-6.727193777,
500,DE,14,10,OPYTIMIZER,-6.124875305,
500,DE,14,20,OPYTIMIZER,-4.07823515,
500,DE,15,2,OPYTIMIZER,-3.152746796,
500,DE,15,5,OPYTIMIZER,-0.708866613,
500,DE,15,10,OPYTIMIZER,1.372747011,
500,DE,15,20,OPYTIMIZER,1.692768255,
500,DE,16,2,OPYTIMIZER,-4.749993615,
500,DE,16,5,OPYTIMIZER,-0.875052189,
500,DE,16,10,OPYTIMIZER,0.692742241,
500,DE,16,20,OPYTIMIZER,1.085935046,
500,DE,17,2,OPYTIMIZER,-6.607432781,
500,DE,17,5,OPYTIMIZER,-6.478149728,
500,DE,17,10,OPYTIMIZER,-6.119444643,
500,DE,17,20,OPYTIMIZER,-3.199114163,
500,DE,18,2,OPYTIMIZER,-6.515951154,
500,DE,18,5,OPYTIMIZER,-6.333426114,
500,DE,18,10,OPYTIMIZER,-5.05786402,
500,DE,18,20,OPYTIMIZER,-1.197626101,
500,DE,19,2,OPYTIMIZER,-5.208089756,
500,DE,19,5,OPYTIMIZER,-0.118046487,
500,DE,19,10,OPYTIMIZER,0.480252792,
500,DE,19,20,OPYTIMIZER,0.684271073,
500,DE,20,2,OPYTIMIZER,-6.451521231,
500,DE,20,5,OPYTIMIZER,-3.922769721,
500,DE,20,10,OPYTIMIZER,-2.144612578,
500,DE,20,20,OPYTIMIZER,-0.046734652,
500,DE,21,2,OPYTIMIZER,-6.201787295,
500,DE,21,5,OPYTIMIZER,-3.156633189,
500,DE,21,10,OPYTIMIZER,-1.016342791,
500,DE,21,20,OPYTIMIZER,0.395786221,
500,DE,22,2,OPYTIMIZER,-7.080542365,
500,DE,22,5,OPYTIMIZER,-0.60824256,
500,DE,22,10,OPYTIMIZER,-0.169407261,
500,DE,22,20,OPYTIMIZER,0.794936355,
500,DE,23,2,OPYTIMIZER,-0.185292289,
500,DE,23,5,OPYTIMIZER,0.041388541,
500,DE,23,10,OPYTIMIZER,0.175780894,
500,DE,23,20,OPYTIMIZER,0.308048802,
500,DE,24,2,OPYTIMIZER,0.003732324,
500,DE,24,5,OPYTIMIZER,1.123472973,
500,DE,24,10,OPYTIMIZER,1.638668582,
500,DE,24,20,OPYTIMIZER,2.076362152,
1000,DE,1,2,OPYTIMIZER,-7.865402321,
1000,DE,1,5,OPYTIMIZER,-7.419610431,
1000,DE,1,10,OPYTIMIZER,-7.052378105,
1000,DE,1,20,OPYTIMIZER,-6.787909697,
1000,DE,2,2,OPYTIMIZER,-7.269018003,
1000,DE,2,5,OPYTIMIZER,-6.822829053,
1000,DE,2,10,OPYTIMIZER,-6.499895944,
1000,DE,2,20,OPYTIMIZER,-6.249669046,
1000,DE,3,2,OPYTIMIZER,-5.932673452,
1000,DE,3,5,OPYTIMIZER,-2.964416702,
1000,DE,3,10,OPYTIMIZER,0.798034043,
1000,DE,3,20,OPYTIMIZER,1.350477738,
1000,DE,4,2,OPYTIMIZER,-6.39388405,
1000,DE,4,5,OPYTIMIZER,-0.368697342,
1000,DE,4,10,OPYTIMIZER,0.895660912,
1000,DE,4,20,OPYTIMIZER,1.381718955,
1000,DE,5,2,OPYTIMIZER,-8,
1000,DE,5,5,OPYTIMIZER,-8,
1000,DE,5,10,OPYTIMIZER,-7.936388473,
1000,DE,5,20,OPYTIMIZER,-7.732113676,
1000,DE,6,2,OPYTIMIZER,-7.178112407,
1000,DE,6,5,OPYTIMIZER,-5.908259514,
1000,DE,6,10,OPYTIMIZER,-6.33902675,
1000,DE,6,20,OPYTIMIZER,-5.372126681,
1000,DE,7,2,OPYTIMIZER,-8,
1000,DE,7,5,OPYTIMIZER,-7.146046262,
1000,DE,7,10,OPYTIMIZER,-6.442481922,
1000,DE,7,20,OPYTIMIZER,-1.03460381,
1000,DE,8,2,OPYTIMIZER,-6.954710718,
1000,DE,8,5,OPYTIMIZER,-6.375697664,
1000,DE,8,10,OPYTIMIZER,-6.223767909,
1000,DE,8,20,OPYTIMIZER,-5.415707074,
1000,DE,9,2,OPYTIMIZER,-7.064603308,
1000,DE,9,5,OPYTIMIZER,-5.577589281,
1000,DE,9,10,OPYTIMIZER,-6.19823476,
1000,DE,9,20,OPYTIMIZER,-5.112371201,
1000,DE,10,2,OPYTIMIZER,-7.124361783,
1000,DE,10,5,OPYTIMIZER,-6.343007021,
1000,DE,10,10,OPYTIMIZER,-4.702014979,
1000,DE,10,20,OPYTIMIZER,1.775133038,
1000,DE,11,2,OPYTIMIZER,-6.968667072,
1000,DE,11,5,OPYTIMIZER,-6.622139386,
1000,DE,11,10,OPYTIMIZER,-5.877325579,
1000,DE,11,20,OPYTIMIZER,-3.910524946,
1000,DE,12,2,OPYTIMIZER,-6.845771407,
1000,DE,12,5,OPYTIMIZER,-6.092910511,
1000,DE,12,10,OPYTIMIZER,-5.13702245,
1000,DE,12,20,OPYTIMIZER,0.351580639,
1000,DE,13,2,OPYTIMIZER,-6.93003416,
1000,DE,13,5,OPYTIMIZER,-6.392911679,
1000,DE,13,10,OPYTIMIZER,-5.493617323,
1000,DE,13,20,OPYTIMIZER,-0.901993911,
1000,DE,14,2,OPYTIMIZER,-7.422658649,
1000,DE,14,5,OPYTIMIZER,-7.088617283,
1000,DE,14,10,OPYTIMIZER,-6.407812536,
1000,DE,14,20,OPYTIMIZER,-4.331520723,
1000,DE,15,2,OPYTIMIZER,-3.217922728,
1000,DE,15,5,OPYTIMIZER,-0.72905422,
1000,DE,15,10,OPYTIMIZER,1.357251934,
1000,DE,15,20,OPYTIMIZER,1.681247276,
1000,DE,16,2,OPYTIMIZER,-4.826604317,
1000,DE,16,5,OPYTIMIZER,-0.899245105,
1000,DE,16,10,OPYTIMIZER,0.681816381,
1000,DE,16,20,OPYTIMIZER,1.0766147,
1000,DE,17,2,OPYTIMIZER,-6.838231958,
1000,DE,17,5,OPYTIMIZER,-6.609013249,
1000,DE,17,10,OPYTIMIZER,-6.221344546,
1000,DE,17,20,OPYTIMIZER,-3.286669481,
1000,DE,18,2,OPYTIMIZER,-6.714274022,
1000,DE,18,5,OPYTIMIZER,-6.470382075,
1000,DE,18,10,OPYTIMIZER,-5.140329187,
1000,DE,18,20,OPYTIMIZER,-1.262452424,
1000,DE,19,2,OPYTIMIZER,-5.270812671,
1000,DE,19,5,OPYTIMIZER,-0.139949581,
1000,DE,19,10,OPYTIMIZER,0.464362332,
1000,DE,19,20,OPYTIMIZER,0.66940813,
1000,DE,20,2,OPYTIMIZER,-6.574911408,
1000,DE,20,5,OPYTIMIZER,-3.941607983,
